电信组播,#genre#
深圳卫视,http://192.168.3.119:12123/udp/239.21.1.93:5002
辽宁卫视,http://192.168.3.119:12123/udp/239.21.1.164:5002
吉林卫视,http://192.168.3.119:12123/udp/239.21.2.49:5002
安徽卫视,http://192.168.3.119:12123/udp/239.21.1.159:5002
东南卫视,http://192.168.3.119:12123/udp/239.21.1.113:5002
河南卫视,http://192.168.3.119:12123/udp/239.21.2.37:5002
河北卫视,http://192.168.3.119:12123/udp/239.21.1.168:5002
黑龙江卫视,http://192.168.3.119:12123/udp/239.21.1.91:5002
湖北卫视,http://192.168.3.119:12123/udp/239.21.1.163:5002
江西卫视,http://192.168.3.119:12123/udp/239.21.1.167:5002
四川卫视,http://192.168.3.119:12123/udp/239.21.2.15:5002
重庆卫视,http://192.168.3.119:12123/udp/239.21.1.233:5002
海南卫视,http://192.168.3.119:12123/udp/239.21.2.14:5002
甘肃卫视,http://192.168.3.119:12123/udp/239.21.2.22:5002
贵州卫视,http://192.168.3.119:12123/udp/239.21.1.166:5002
甘肃卫视,http://192.168.3.119:12123/udp/239.21.2.55:5002
青海卫视,http://192.168.3.119:12123/udp/239.21.2.85:5002
云南卫视,http://192.168.3.119:12123/udp/239.21.2.86:5002
广西卫视,http://192.168.3.119:12123/udp/239.21.2.87:5002
山西卫视,http://192.168.3.119:12123/udp/239.21.1.33:5002
陕西卫视,http://192.168.3.119:12123/udp/239.21.1.30:5002
内蒙古卫视,http://192.168.3.119:12123/udp/239.21.1.41:5002
宁夏卫视,http://192.168.3.119:12123/udp/239.21.1.44:5002
三沙卫视,http://192.168.3.119:12123/udp/239.21.2.9:5002
厦门卫视,http://192.168.3.119:12123/udp/239.21.2.6:5002
西藏卫视,http://192.168.3.119:12123/udp/239.21.1.46:5002
新疆卫视,http://192.168.3.119:12123/udp/239.21.1.45:5002
兵团卫视,http://192.168.3.119:12123/udp/239.21.1.234:5002
农林卫视,http://192.168.3.119:12123/udp/239.21.1.235:5002
中国交通,http://192.168.3.119:12123/udp/239.21.1.115:5002
CETV1,http://192.168.3.119:12123/udp/239.21.2.7:5002
CETV4,http://192.168.3.119:12123/udp/239.21.2.129:5002
CHC家庭影院,http://192.168.3.119:12123/udp/239.21.2.126:5002
CHC动作电影,http://192.168.3.119:12123/udp/239.21.2.128:5002
CHC影迷电影,http://192.168.3.119:12123/udp/239.21.2.127:5002
重温经典影视,http://192.168.3.119:12123/udp/239.21.2.77:5002
都市剧场,http://192.168.3.119:12123/udp/239.21.2.90:5002
精彩影视,http://192.168.3.119:12123/udp/239.21.2.91:5002
卡酷少儿,http://192.168.3.119:12123/udp/239.21.2.120:5002
金鹰卡通,http://192.168.3.119:12123/udp/239.21.2.121:5002
动漫秀场,http://192.168.3.119:12123/udp/239.21.2.92:5002
魅力足球,http://192.168.3.119:12123/udp/239.21.2.95:5002
武术世界,http://192.168.3.119:12123/udp/239.21.2.96:5002
文物宝库,http://192.168.3.119:12123/udp/239.21.2.109:5002
梨园频道,http://192.168.3.119:12123/udp/239.21.2.101:5002
金鹰纪实,http://192.168.3.119:12123/udp/239.21.1.170:5002
纪实科教,http://192.168.3.119:12123/udp/239.21.1.172:5002
游戏风云,http://192.168.3.119:12123/udp/239.21.2.107:5002
快乐垂钓,http://192.168.3.119:12123/udp/239.21.2.97:5002
汽摩频道,http://192.168.3.119:12123/udp/239.21.2.142:5002
金色学堂,http://192.168.3.119:12123/udp/239.21.2.102:5002
生活时尚,http://192.168.3.119:12123/udp/239.21.2.103:5002
乐游,http://192.168.3.119:12123/udp/239.21.2.104:5002
法治天地,http://192.168.3.119:12123/udp/239.21.2.105:5002
茶频道,http://192.168.3.119:12123/udp/239.21.2.110:5002
海洋频道,http://192.168.3.119:12123/udp/239.21.2.119:5002
求索纪录,http://192.168.3.119:12123/udp/239.21.2.159:5002
生态环境,http://192.168.3.119:12123/udp/239.21.2.160:5002
东方财经,http://192.168.3.119:12123/udp/239.21.2.108:5002
山东齐鲁,http://192.168.3.119:12123/udp/239.21.1.134:5002
山东新闻,http://192.168.3.119:12123/udp/239.21.1.140:5002
山东体育,http://192.168.3.119:12123/udp/239.21.1.141:5002
山东综艺,http://192.168.3.119:12123/udp/239.21.1.177:5002
山东少儿,http://192.168.3.119:12123/udp/239.21.1.208:5002
山东生活,http://192.168.3.119:12123/udp/239.21.1.175:5002
山东农科,http://192.168.3.119:12123/udp/239.21.1.183:5002
山东文旅,http://192.168.3.119:12123/udp/239.21.1.176:5002
山东教育,http://192.168.3.119:12123/udp/239.21.1.169:5002
济南综合,http://192.168.3.119:12123/udp/239.21.1.94:5002
济南教育,http://192.168.3.119:12123/udp/239.21.1.133:5002

济阳综合,http://192.168.3.119:12123/udp/239.21.1.187:5002
商河综合,http://192.168.3.119:12123/udp/239.21.2.53:5002
平阴综合,http://192.168.3.119:12123/udp/239.21.1.221:5002
历城综合,http://192.168.3.119:12123/udp/239.21.2.132:5002

